idx,S_rank,z1,z2,D_pw_mm,alpha,D_we_mm,L_we_mm,slenderness,Z,bore_mm,D_mm,T_mm,B_mm,C_mm,t_i_mm,t_o_mm,c12_margin,L_eff_m,S_index,mass_brg_kg,mass_shaft_kg,mass_total_kg,Myz_max_UW,Myz_max_DW,sigma_max_MPa,governing,feasible,t_s,warn
0.70_3.50_3300_31_200_475,3120,0.7,3.5,3300.0,31.0,200.0,475.0,2.375,47,2697.0,3890.0,618.5735,598.61875,504.83475,93.7,86.91,2.173,4.76823,106.777,24571.6,38502.4,87645.5,2582.4,2066.2,2582.4,Myz_max/UW,0,0.25,
0.30_3.50_3600_19_140_325,3121,0.3,3.5,3600.0,19.0,140.0,325.0,2.321,74,3234.0,3957.0,423.2345,409.58125000000007,345.41325,64.11,59.46,2.124,4.41356,106.772,11011.9,55361.2,77385.1,2687.9,2301.4,2687.9,Myz_max/UW,0,0.33,
0.70_3.00_4200_19_200_475,3122,0.7,3.0,4200.0,19.0,200.0,475.0,2.375,60,3669.0,4718.0,618.5735,598.61875,504.83475,93.7,86.91,2.173,3.72778,106.766,27211.3,62349.0,116771.6,2265.1,2029.9,2265.1,Myz_max/UW,0,0.28,
0.70_4.50_3300_27_230_475,3123,0.7,4.5,3300.0,27.0,230.0,475.0,2.065,41,2692.0,3894.0,618.5735,598.61875,504.83475,93.7,86.91,1.889,5.46759,106.751,24321.7,47949.7,96593.1,2476.9,1915.0,2476.9,Myz_max/UW,0,0.23,
0.30_3.00_3900_19_170_400,3124,0.3,3.0,3900.0,19.0,170.0,400.0,2.353,66,3451.0,4337.0,520.904,504.1000000000001,425.1240000000001,78.9,73.19,2.153,4.02065,106.732,17994.8,55159.9,91149.6,2437.4,2144.6,2437.4,Myz_max/UW,0,0.31,
0.50_4.00_4200_15_170_325,3125,0.5,4.0,4200.0,15.0,170.0,325.0,1.912,71,3823.0,4567.0,423.2345,409.58125000000007,345.41325,64.11,59.46,1.749,4.59933,106.731,12874.0,87033.6,112781.7,2383.6,2105.3,2383.6,Myz_max/UW,0,0.3,
1.00_4.50_4200_15_170_325,3126,1.0,4.5,4200.0,15.0,170.0,325.0,1.912,71,3823.0,4567.0,423.2345,409.58125000000007,345.41325,64.11,59.46,1.749,4.59933,106.731,12874.0,96704.0,122452.1,2398.1,2116.1,2398.1,Myz_max/UW,0,0.31,
0.50_3.50_4200_19_200_400,3127,0.5,3.5,4200.0,19.0,200.0,400.0,2.0,60,3723.0,4666.0,520.904,504.1000000000001,425.1240000000001,78.9,73.19,1.83,4.42463,106.708,20257.3,73368.9,113883.5,2260.8,1997.5,2260.8,Myz_max/UW,0,0.28,
1.00_4.00_4200_19_200_400,3128,1.0,4.0,4200.0,19.0,200.0,400.0,2.0,60,3723.0,4666.0,520.904,504.1000000000001,425.1240000000001,78.9,73.19,1.83,4.42463,106.708,20257.3,82540.0,123054.6,2274.6,2007.9,2274.6,Myz_max/UW,0,0.26,
0.70_4.00_3600_19_110_250,3129,0.7,4.0,3600.0,19.0,110.0,250.0,2.273,94,3316.0,3877.0,325.565,315.0625,265.7025,49.31,45.74,2.079,4.50972,106.68,6570.9,65479.8,78621.6,2952.7,2539.3,2952.7,Myz_max/UW,0,0.34,
