rank,stage,tag,K1L,K2L,zmL_um,K1R,K2R,zmR_um,sigma_MPa,edge_L_MPa,margin_L_mm,y_star_mm,y_star_pct,edge_R_MPa,margin_R_mm,contact_mm,score,feasible
103,S1,sym K1=3.0 K2=0.4 zm=250,3.0,0.4,250.0,3.0,0.4,250.0,2161.7,1604.4,0.0,-181.55,84.9,761.3,18.08,409.7,,0
103,S1,sym K1=3.0 K2=0.4 zm=400,3.0,0.4,400.0,3.0,0.4,400.0,2161.2,1695.6,1.38,-180.34,84.3,773.2,18.85,407.6,,0
103,S1,sym K1=3.0 K2=0.4 zm=600,3.0,0.4,600.0,3.0,0.4,600.0,2159.6,1968.2,3.8,-178.11,83.3,773.0,18.83,405.2,,0
103,S1,sym K1=3.0 K2=0.55 zm=40,3.0,0.55,40.0,3.0,0.55,40.0,2467.0,2467.0,0.0,-213.9,100.0,745.4,0.0,427.8,,0
103,S1,sym K1=3.0 K2=0.55 zm=80,3.0,0.55,80.0,3.0,0.55,80.0,2296.7,2296.7,0.0,-213.9,100.0,666.0,10.97,416.8,,0
103,S1,sym K1=3.0 K2=0.55 zm=150,3.0,0.55,150.0,3.0,0.55,150.0,2109.8,1981.7,0.0,-181.41,84.8,614.7,16.24,411.6,,0
103,S1,sym K1=3.0 K2=0.55 zm=250,3.0,0.55,250.0,3.0,0.55,250.0,2121.0,1570.0,0.0,-170.97,79.9,647.0,19.95,407.8,,0
103,S1,sym K1=3.0 K2=0.55 zm=400,3.0,0.55,400.0,3.0,0.55,400.0,2124.3,1564.8,1.29,-169.91,79.4,670.4,20.86,405.6,,0
103,S1,sym K1=3.0 K2=0.55 zm=600,3.0,0.55,600.0,3.0,0.55,600.0,2123.0,1881.3,3.85,-167.62,78.4,669.4,20.86,403.1,,0
103,S1,sym K1=3.0 K2=0.7 zm=40,3.0,0.7,40.0,3.0,0.7,40.0,2479.2,2479.2,0.0,-213.9,100.0,774.8,0.0,427.8,,0
