rank,stage,tag,K1L,K2L,zmL_um,K1R,K2R,zmR_um,sigma_MPa,edge_L_MPa,margin_L_mm,y_star_mm,y_star_pct,edge_R_MPa,margin_R_mm,contact_mm,score,feasible
1,S2,asym K1=4.0 K2=1.0 zmL=800 r=0.7,4.0,1.0,800.0,4.0,1.0,560.0,2093.0,1591.2,5.88,-184.26,69.1,169.2,42.44,485.2,-0.64262,1
1,S2,asym K1=4.0 K2=1.0 zmL=800 r=1.0,4.0,1.0,800.0,4.0,1.0,800.0,2093.1,1591.3,5.88,-184.29,69.1,173.1,42.64,485.0,-0.6429,1
1,S2,asym K1=8.0 K2=0.7 zmL=250 r=0.15,8.0,0.7,250.0,8.0,0.7,37.5,2059.2,1554.8,0.0,-170.99,64.1,716.2,0.0,533.5,-0.55242,1
1,S2,asym K1=8.0 K2=0.7 zmL=250 r=0.3,8.0,0.7,250.0,8.0,0.7,75.0,2075.2,1583.2,0.0,-170.99,64.1,492.5,13.68,519.8,-0.58115,1
1,S2,asym K1=8.0 K2=0.7 zmL=250 r=0.5,8.0,0.7,250.0,8.0,0.7,125.0,2084.1,1604.7,0.0,-172.11,64.5,546.9,33.25,500.2,-0.60928,1
1,S2,asym K1=8.0 K2=0.7 zmL=250 r=0.7,8.0,0.7,250.0,8.0,0.7,175.0,2089.7,1616.4,0.0,-161.43,60.5,620.4,46.38,487.1,-0.56031,1
1,S2,asym K1=8.0 K2=0.7 zmL=250 r=1.0,8.0,0.7,250.0,8.0,0.7,250.0,2095.3,1626.8,0.0,-163.84,61.4,685.5,57.55,475.9,-0.58455,1
1,S2,asym K1=8.0 K2=0.7 zmL=325 r=0.15,8.0,0.7,325.0,8.0,0.7,48.8,2083.7,1036.2,0.0,-157.31,59.0,621.9,0.0,533.5,0.05016,1
1,S2,asym K1=8.0 K2=0.7 zmL=325 r=0.3,8.0,0.7,325.0,8.0,0.7,97.5,2100.1,1082.9,0.0,-157.31,59.0,252.2,13.68,519.8,,0
1,S2,asym K1=8.0 K2=0.7 zmL=325 r=0.5,8.0,0.7,325.0,8.0,0.7,162.5,2107.8,1107.5,0.0,-160.49,60.2,620.5,42.03,491.5,,0
1,S2,asym K1=8.0 K2=0.7 zmL=325 r=0.7,8.0,0.7,325.0,8.0,0.7,227.5,2113.0,1118.7,0.0,-162.92,61.1,682.0,53.29,480.2,,0
1,S2,asym K1=8.0 K2=0.7 zmL=325 r=1.0,8.0,0.7,325.0,8.0,0.7,325.0,2116.1,1128.1,0.0,-152.13,57.0,171.4,49.53,484.0,,0
