key,z1,z2,D_pw_mm,alpha,D_we_mm,L_w_mm,slenderness,Z,bore_mm,D_mm,T_mm,B_mm,C_mm,L_eff_m,mass_brg_kg,mass_shaft_kg,mass_total_kg,sigma_max_MPa,feasible,warn,t_s,L_we_mm,taper_2beta_deg,cone_angle_deg,rank,mass_brg_t,mass_shaft_t,mass_total_t,sigma_margin
1.00_5.70_4483.0_17_176.80_378.30,1.0,5.7,4483.0,17.0,176.8,378.3,2.1397,73,4054.0,4901.0,493.0,477.0,402.0,6.04716,18486.1,70562.4,107534.7,2099.6,1,,0.3,369.7,1.2732,15.7268,192,18.4861,70.5624,107.5346,0.4
1.00_5.90_4497.0_15_178.80_374.30,1.0,5.9,4497.0,15.0,178.8,374.3,2.0934,72,4080.0,4904.0,487.0,472.0,398.0,6.08032,17709.8,72415.1,107834.8,2098.2,1,,0.31,365.7,1.1355,13.8645,193,17.7098,72.4151,107.8347,1.8
1.00_6.00_4508.0_15_172.80_372.00,1.0,6.0,4508.0,15.0,172.8,372.0,2.1528,75,4098.0,4907.0,484.0,469.0,395.0,6.18314,17383.4,72956.8,107723.7,2093.2,1,,0.29,363.4,1.0962,13.9038,194,17.3834,72.9568,107.7236,6.8
1.00_6.00_4511.0_15_173.60_368.30,1.0,6.0,4511.0,15.0,173.6,368.3,2.1215,75,4103.0,4909.0,480.0,464.0,391.0,6.18496,17157.9,73048.4,107364.2,2094.6,1,,0.28,359.7,1.1004,13.8996,195,17.1579,73.0484,107.3642,5.4
1.00_5.70_4505.0_15_178.90_384.70,1.0,5.7,4505.0,15.0,178.9,384.7,2.1504,72,4081.0,4918.0,501.0,485.0,409.0,5.88346,18565.7,70169.8,107301.2,2099.4,1,,0.32,376.1,1.1342,13.8658,196,18.5657,70.1698,107.3012,0.6
1.00_5.70_4509.0_15_177.90_383.40,1.0,5.7,4509.0,15.0,177.9,383.4,2.1551,73,4087.0,4920.0,499.0,483.0,407.0,5.88451,18454.8,69983.2,106892.9,2096.6,1,,0.29,374.8,1.1271,13.8729,197,18.4548,69.9832,106.8928,3.4
1.00_5.60_4508.0_15_177.30_390.50,1.0,5.6,4508.0,15.0,177.3,390.5,2.2025,73,4082.0,4923.0,509.0,492.0,415.0,5.78523,19010.5,68767.8,106788.9,2098.8,1,,0.3,381.9,1.1237,13.8763,198,19.0105,68.7678,106.7888,1.2
1.00_6.00_4534.0_15_164.30_371.90,1.0,6.0,4534.0,15.0,164.3,371.9,2.2635,79,4132.0,4925.0,484.0,469.0,395.0,6.18994,17205.4,72336.0,106746.8,2098.0,1,,0.31,363.3,1.0383,13.9617,199,17.2054,72.336,106.7468,2.0
1.00_5.80_4524.0_15_178.90_375.50,1.0,5.8,4524.0,15.0,178.9,375.5,2.0989,73,4106.0,4931.0,489.0,473.0,399.0,5.98854,17933.3,70554.8,106421.5,2094.4,1,,0.29,366.9,1.1296,13.8704,200,17.9333,70.5548,106.4214,5.6
1.00_6.00_4536.0_16_167.40_366.50,1.0,6.0,4536.0,16.0,167.4,366.5,2.1894,78,4129.0,4932.0,477.0,462.0,390.0,6.2759,17186.1,72282.0,106654.2,2093.6,1,,0.3,357.9,1.1256,14.8744,201,17.1861,72.282,106.6542,6.4
1.00_5.90_4545.0_15_164.30_376.20,1.0,5.9,4545.0,15.0,164.3,376.2,2.2897,79,4141.0,4939.0,490.0,474.0,400.0,6.09388,17568.9,71075.6,106213.4,2099.5,1,,0.31,367.6,1.0359,13.9641,202,17.5689,71.0756,106.2134,0.5
1.00_5.90_4547.0_15_172.20_368.00,1.0,5.9,4547.0,15.0,172.2,368.0,2.137,76,4140.0,4943.0,479.0,464.0,391.0,6.09357,17216.2,71057.9,105490.4,2099.5,1,,0.3,359.4,1.0835,13.9165,203,17.2162,71.0579,105.4903,0.5
1.00_6.00_4547.0_16_172.50_360.60,1.0,6.0,4547.0,16.0,172.5,360.6,2.0904,76,4140.0,4944.0,470.0,454.0,383.0,6.28016,16898.7,72168.2,105965.6,2095.4,1,,0.33,352.0,1.156,14.844,204,16.8987,72.1682,105.9656,4.6
1.00_5.90_4547.0_16_170.60_364.50,1.0,5.9,4547.0,16.0,170.6,364.5,2.1366,77,4139.0,4945.0,475.0,459.0,387.0,6.18012,17167.7,71040.3,105375.6,2097.5,1,,0.32,355.9,1.1437,14.8563,205,17.1677,71.0403,105.3757,2.5
1.00_5.80_4548.0_16_172.50_368.80,1.0,5.8,4548.0,16.0,172.5,368.8,2.138,76,4135.0,4950.0,480.0,465.0,392.0,6.07944,17558.3,70162.6,105279.1,2099.3,1,,0.29,360.2,1.1558,14.8442,206,17.5583,70.1626,105.2792,0.7
1.00_6.00_4562.0_15_171.20_359.20,1.0,6.0,4562.0,15.0,171.2,359.2,2.0981,77,4162.0,4952.0,468.0,453.0,382.0,6.19756,16585.4,71621.4,104792.2,2099.7,1,,0.3,350.6,1.074,13.926,207,16.5854,71.6214,104.7922,0.3
1.00_6.00_4586.0_15_171.20_359.20,1.0,6.0,4586.0,15.0,171.2,359.2,2.0981,77,4186.0,4976.0,468.0,453.0,382.0,6.20398,16651.6,71414.2,104717.4,2097.7,1,,0.31,350.6,1.0686,13.9314,208,16.6516,71.4142,104.7174,2.3
1.00_5.90_4580.0_16_170.90_361.10,1.0,5.9,4580.0,16.0,170.9,361.1,2.1129,77,4174.0,4976.0,470.0,455.0,384.0,6.18858,17006.0,70418.5,104430.6,2099.9,1,,0.28,352.5,1.1377,14.8623,209,17.006,70.4185,104.4305,0.1
1.00_6.00_4596.0_15_170.00_356.20,1.0,6.0,4596.0,15.0,170.0,356.2,2.0953,78,4199.0,4983.0,464.0,449.0,379.0,6.20664,16435.5,71008.1,103879.1,2099.8,1,,0.31,347.6,1.0591,13.9409,210,16.4355,71.0081,103.8791,0.2
