DLC,dt,k,ksel,nbin,ScaleFactor,scr_eps_UW,scr_eps_Sys,D30_UW,D30_DW,life_UW_yr,life_DW_yr,life_Sys_yr,t_s,contrib_UW_pct,contrib_DW_pct
DLC2.4.2-a-s5,20,0.29,center,15,25.0,2.911265693654852,0.9030982084683301,5.1538884781910186e-05,1.2569893663804453e-05,582084.7720502056,2386655.0348302694,493369.87458138657,2.1625540999812074,0.0008137943837674036,0.0008086741609892828
DLC2.4.2-a-s6,20,0.27,center,15,25.0,2.939814308309426,1.3845862026577163,4.626557866681293e-05,1.216853204476606e-05,648430.2339769393,2465375.4363825363,542356.4490207403,2.304190599999856,0.0007305293515783737,0.0007828528788678765
DLC2.4.2-b-s1,20,0.44,center,15,25.0,2.873496576771653,0.2749134849301642,2.5733271330978385e-05,1.4792983626220378e-05,1165805.917721981,2027988.4543930257,795864.8943728728,2.2947988999658264,0.000406326054079915,0.000951694894357705
DLC2.4.2-b-s2,20,0.57,cons,15,25.0,3.346975291663183,0.09273389639363572,2.8677471431887367e-05,1.743441417939675e-05,1046117.3353882963,1720734.6166785879,700055.5655001737,2.086643400019966,0.0004528147104981874,0.0011216292385560355
DLC2.4.2-b-s3,20,0.5,cons,15,25.0,3.217735711687118,0.010607673413221441,2.7888735202049994e-05,1.3692286033591727e-05,1075703.1390148813,2191014.7017379007,773518.1067982172,2.213902899995446,0.00044036063593232063,0.0008808823858330707
DLC2.4.2-b-s4,20,0.5,cons,15,25.0,3.31914687804675,0.0568240790333121,2.4171843716798524e-05,1.2943686557153412e-05,1241113.4355941217,2317732.2679696926,867971.0345467429,2.271069600014016,0.0003816712516243348,0.0008327218309614755
DLC2.4.2-b-s5,20,0.55,center,15,25.0,2.871497339273716,1.1298952205628492,3.270652866020694e-05,1.8351677242373822e-05,917248.0611340483,1634727.9653943742,631451.7172748949,2.168856300006155,0.0005164331639854616,0.0011806406317864645
DLC2.4.2-b-s6,20,0.44,cons,15,25.0,4.190495613978983,0.09009784877193727,2.501682900950207e-05,1.5718436054534106e-05,1199192.7509519767,1908586.8273355518,792823.5471882167,2.3187255999655463,0.0003950134938648879,0.0010112331439259665
DLC4.1-a-y1,20,0.11,center,10,10000.0,1.6799324747613609,1.5012274837132953,0.006023576844571242,0.002931149379018984,4980.429531174247,10234.892910862358,3591.1892111704246,1.5964775999891572,0.09511173994249889,0.18857317557410558
DLC4.1-a-y2,20,0.1,center,10,10000.0,1.6639541513630527,1.499396115702083,0.005924427982951833,0.0028808272246598162,5063.7800115603,10413.675538470574,3652.0990674765762,1.5908710000221618,0.09354618828021055,0.1853357395985926
