DLC,k,dt_s,eps_UW_pct,eps_DW_pct,eps_Sys_pct
DLC1.2-a-s4,1.75,20.0,61.278697051763764,97.517066357585,66.40826777425957
DLC1.2-a-s4,1.8,20.0,63.62692746200991,101.72903648822769,69.02232993254198
DLC1.2-a-s4,1.85,20.0,66.00597530404035,106.01984664190284,71.67420273460453
DLC1.2-a-s4,1.9,20.0,68.41614285584596,110.3905943608039,74.36430760704783
DLC1.2-a-s4,1.95,20.0,70.85773404601044,114.84238565757288,77.09306868641261
DLC1.2-a-s4,2.0,20.0,73.33105445158392,119.37633500553298,79.86091281581534
DLC1.2-a-s4,2.05,20.0,75.83641129594602,123.99356532877749,82.668269541549
DLC1.2-a-s4,2.1,20.0,78.3741134466598,128.6952079921222,85.51557110965098
DLC1.2-a-s4,2.15,20.0,80.94447141331472,133.48240279092346,88.40325246243776
DLC1.2-a-s4,2.2,20.0,83.54779734536251,138.3562979407714,91.33175123501135
DLC1.2-a-s4,2.25,20.0,86.18440502994305,143.31805006705832,94.30150775173453
DLC1.2-a-s4,2.3,20.0,88.85460988970229,148.36882419443324,97.3129650226798
DLC1.2-a-s4,2.35,20.0,91.55872898060242,153.5097937361395,100.36656874005074
DLC1.2-a-s4,2.4,20.0,94.29708098972476,158.74214048324774,103.46276727457915
DLC1.2-a-s4,2.45,20.0,97.06998623306471,164.0670545937838,106.60201167189727
DLC1.2-a-s4,2.5,20.0,99.87776665332053,169.4857345817573,109.78475564888743
DLC1.2-a-s4,2.55,20.0,102.72074581767585,174.99938730609475,113.01145559000987
DLC1.2-a-s4,2.6,20.0,105.59924891557469,180.60922795948304,116.28257054360995
DLC1.2-a-s4,2.65,20.0,108.5136027564924,186.31648005712344,119.59856221820525
