DLC,ScaleFactor,rpm_mean,rpm_CV_pct,T3P_s,dt_rule_max_s,n_rpm_lt1,n_kappa_clip,valid,D30_UW_scr,D30_DW_scr,life_UW_scr_yr,life_DW_scr_yr,life_Sys_scr_yr,best_dt_s,best_k,eps_UW_at_best,eps_DW_at_best,eps_Sys_at_best,kappa_min,kappa_max
DLC1.2-f-s1,18970.0,6.162774689218463,4.228394896611244,3.245291448832168,0.7198480832605088,0,0,1,0.353927553075298,0.10198029479139253,84.76310967973015,294.1744781319469,69.67961158930505,10,0.34,2.9882115045853386,-7.653622822476528,0.8942407704304411,1.568308645003611,1.8872992636821844
DLC1.2-f-s2,18970.0,6.17448945342443,3.7383203437424,3.2391342071056273,0.7319133238965309,0,0,1,0.30621817898540743,0.08006631742393094,97.969363214813,374.689394557234,82.03078586218082,20,0.35,2.9083977818550686,-9.264016879229086,0.7183275658368702,1.5796678506300779,1.8614405307704103
DLC1.2-f-s3,18970.0,6.17741146975504,3.6363307706428163,3.237602043820643,0.7391146884262031,0,0,1,0.42531780380591033,0.1413400726737141,70.53549071199994,212.25402981966408,56.26469843322163,20,0.37,2.900221023619638,-5.693973224053989,0.9785709776932419,1.5854568693848892,1.8463747682955838
DLC1.2-f-s4,18970.0,6.175301964672555,4.355043769600722,3.238708020177034,0.7121015969590414,0,0,1,0.3715749785067545,0.11209550704419124,80.73740627143616,267.628924575658,65.75763165130748,20,0.36,2.9920393995766608,-6.788486027567643,0.9855419052450688,1.5703462526596568,1.904324047089632
DLC1.2-f-s5,18970.0,6.178795889018496,3.8589751846587506,3.236876627620241,0.7090730146664663,0,0,1,0.382718394711453,0.11658661110912005,78.38661641183519,257.31942728759213,63.71444568758935,20,0.35,2.9750606655976095,-5.799499503929193,1.1582466071501627,1.5573313527076664,1.9110725886629865
DLC1.2-f-s6,18970.0,6.1806411248125315,4.084128220460961,3.2359102552822354,0.738722659874358,0,0,1,0.37213962909540244,0.11374710959917674,80.61490272595812,263.7429654759081,65.47962427604381,4,0.33,2.9822280510464574,-6.140914931985293,1.0879488496383778,1.5135969174125552,1.8471880006332402
DLC1.2-g-s1,11340.0,6.182843467755375,4.012414381182669,3.234757616669991,0.7350627890634418,0,0,1,0.16554555747706212,0.05221128911844812,181.21899770192732,574.5883793817288,146.22286083402676,10,0.37,2.9745125190980533,-5.700561606734759,1.1219769865760538,1.5937657572557782,1.8548183957329738
DLC1.2-g-s2,11340.0,6.183322679553409,4.035624420553482,3.234506920710226,0.7329916614868589,0,0,1,0.1869857643155603,0.06196866315129767,160.44002124873793,484.1156557912897,128.058229148514,20,0.4,2.9424118040110816,-6.701721454015261,0.7922323891408762,1.578025747306647,1.859167332566972
DLC1.2-g-s3,11340.0,6.179845930678221,4.087352635830046,3.2363266373220174,0.7178833353434066,0,0,1,0.15656585634745565,0.04936443075165916,191.61265872313245,607.7250267692327,154.6192584700805,4,0.35,2.961737379400427,-6.480396125139728,0.9466971389407339,1.5370344417870083,1.891585448489334
DLC1.2-g-s4,11340.0,6.181827667055491,3.438388396937205,3.2352891534950112,0.7289097259882558,0,0,1,0.18836484125325448,0.058943777582348617,159.26539050706032,508.95957521704275,128.72458737390545,10,0.38,2.9043193329445978,-7.752603943357332,0.6466631803770766,1.5974000009701894,1.8678047247589447
DLC1.2-g-s5,11340.0,6.183489386768871,3.8573599526498596,3.2344197182249594,0.7395618244102734,0,0,1,0.1722615628042504,0.052914192922553366,174.15376658396238,566.9556378552122,141.31048870557245,4,0.35,2.9507406044572773,-5.513388503478261,1.1848691354230994,1.5629637879216136,1.8454481829887792
DLC1.2-g-s6,11340.0,6.18747308448592,3.383247310771352,3.2323372929325123,0.7321544670208342,0,0,1,0.1944298845316371,0.06429100699956346,154.29726799595196,466.6282486476484,123.2172521754903,10,0.39,2.985969481985592,-7.8697693113469915,0.5719361591452641,1.5896906783388645,1.8609316552200565
DLC1.2-h-s1,6126.0,6.18731020496584,3.628222006047863,3.232422383469364,0.745627639521844,0,0,1,0.10286983806944282,0.041079503856949924,291.6306719540896,730.2911959323611,222.4622692626896,10,0.41,2.8952662828503843,-5.919847378862687,0.5902646147198249,1.5693696738488472,1.8329787047646964
DLC1.2-h-s2,6126.0,6.182863811031495,4.035702228322009,3.234746973451996,0.728206950589702,0,0,1,0.08105076535409833,0.026718629799327084,370.13839251158964,1122.812068781894,295.7838113588605,4,0.39,2.930431056590301,-4.887476994260147,1.1939175426518966,1.5317757141465296,1.869300738829994
DLC1.2-h-s3,6126.0,6.189077125479087,3.4135836635588857,3.2314995587410507,0.7392742396934081,0,0,1,0.08129904629709121,0.027984467570012286,369.0080187456438,1072.0232545052072,291.9981251228874,4,0.38,2.93424017975382,-5.048182463126549,1.093377055077442,1.5829673746556507,1.8460440177256423
DLC1.2-h-s4,6126.0,6.184425100816531,3.8312624250435037,3.23393034501451,0.741549304130133,0,0,1,0.08518345912372982,0.030501499945337688,352.18104909809665,983.5581874256533,276.10562647452446,4,0.38,2.9822722006672273,-6.410342172084256,0.7428976745296354,1.5598057287648224,1.8413419682937475
DLC1.2-h-s5,6126.0,6.185387048825196,3.86666962800504,3.2334274059371344,0.7313833677571105,0,0,1,0.08344074501087224,0.028460775598482656,359.5365788751171,1054.0823069347205,285.1026264186392,4,0.38,2.9367857493482834,-6.561401316833788,0.7652669964358974,1.5631349000260861,1.8625599567053577
DLC1.2-h-s6,6126.0,6.185715715714047,3.743293939785783,3.233255603582374,0.7405410689266005,0,0,1,0.07293503242294594,0.02352178994394296,411.32496968030085,1275.4131412403515,330.2922778729543,4,0.41,2.898218200252286,-6.194975306772522,0.9182021237813338,1.5879993013627192,1.8434225032511935
DLC1.2-i-s1,2997.0,6.1851999650058325,4.442058398466959,3.2335252074556236,0.730106069809822,0,0,1,0.03187817967419618,0.011720990504229646,941.0825933791799,2559.510647941757,733.0779963802053,2,0.41,2.982082827961146,-5.226488992372846,0.979068294516749,1.5229581626376396,1.8652641022754282
DLC1.2-i-s2,2997.0,6.1874749808365275,4.0963959120902675,3.232336302278844,0.7271130268115658,0,0,1,0.03506575335952218,0.014286217916175408,855.5355903070434,2099.925968932116,649.1704244417721,4,0.41,2.970064621830427,-4.065190076747135,1.0980898676259143,1.5504058524534363,1.8716346638423655
DLC1.2-i-s3,2997.0,6.187747013831028,4.060557350886654,3.232194198517721,0.7173662900971888,0,0,1,0.03519324649345896,0.01360318715870576,852.4362765332213,2205.3655257400924,655.7705169174203,4,0.4,2.956342875450798,-4.2542472970460015,1.1200635345984717,1.5506946391327634,1.8927169758023645
DLC1.2-i-s4,2997.0,6.183341999666722,4.560712430207817,3.2344968143567,0.7224984574657933,0,0,1,0.027959444150511024,0.011218895356923669,1072.9827044666652,2674.060060778238,817.4618714939268,4,0.43,2.9802178390368663,-2.9713900869929972,1.4156357197441243,1.5538752599143846,1.881551158257672
DLC1.2-i-s5,2997.0,6.186370933177804,4.248055507010059,3.232913159593946,0.7190602745084503,0,0,1,0.0360237777054229,0.01737866156945207,832.7832867868241,1726.254917854751,602.0823678451145,10,0.48,2.925197420876574,-4.4110654422738484,0.6893085300686432,1.50569784525078,1.8890153294925323
DLC1.2-i-s6,2997.0,6.1878309565072485,3.9616307682062333,3.2321503513226384,0.7382590964594571,0,0,1,0.030877455448478877,0.012709521771928887,971.5826503274219,2360.43499813345,735.2016693843141,4,0.44,2.9579970913036497,-4.622770517285171,0.924273862855181,1.5693649897177515,1.8481506460852415
DLC1.2-j-s1,1332.0,6.190037275454091,3.843922673388532,3.230998313904795,0.7154877336782938,0,0,1,0.012057803083176832,0.006410985183573256,2488.0154198119476,4679.467997659459,1744.0868358628452,4,0.44,2.96825775708691,-1.3212655099456585,1.5575851907071816,1.5419604195944714,1.8968406940598592
DLC1.2-j-s2,1332.0,6.1843071854690885,4.551450829548047,3.233992005926363,0.6953880473920863,0,0,1,0.012510518638072664,0.006178601389018827,2397.9821195184054,4855.4677848806905,1721.179935889988,10,0.49,2.952714318181072,-3.298783274577797,1.0113454973323188,1.522442069139197,1.9422363781204532
DLC1.2-j-s3,1332.0,6.182868405265788,4.7756544850377916,3.234744569845045,0.7141520658276808,0,0,1,0.01249004724448641,0.00586767490411092,2401.9124517918185,5112.757691974697,1750.525876224883,2,0.41,2.974515490366139,-2.4537836601869127,1.3528662025554314,1.5244520396502141,1.899784761333691
DLC1.2-j-s4,1332.0,6.187611853024497,4.358148011995564,3.232264801843384,0.7164750573538283,0,0,1,0.011730192045405291,0.005403142309641721,2557.5028851936813,5552.324606824817,1874.8699772184873,4,0.45,2.923122789130461,-4.499792523060025,0.7418835757197133,1.570058209976673,1.8946709009768103
DLC1.2-j-s5,1332.0,6.181497830361606,5.076461758791248,3.235461784321299,0.7316862587857228,0,0,1,0.013100170279517856,0.007032120989508094,2290.0465688530066,4266.138202792575,1600.2441796335781,4,0.46,2.972549498724254,-1.2729737746359613,1.5662281121055552,1.5274059233942108,1.8619199785519995
DLC1.2-j-s6,1332.0,6.180576063989336,5.1462376304876445,3.2359443186094747,0.7253609396035468,0,0,1,0.011745663751765886,0.00466148964178836,2554.1340731373903,6435.710964808802,1951.5124444754972,4,0.46,2.984414527075973,-6.000010601060779,0.6474414445152108,1.5208959307245784,1.8753862215695816
DLC1.2-k-s1,538.2,6.188373499416763,4.575509900544352,3.231866984416009,0.7183041127220278,0,0,1,0.005237005150670506,0.0033569966941184907,5728.464864343131,8936.559291988717,3758.964235954635,20,0.63,2.97648138405532,-1.224838125321857,1.3932325494351732,1.5597682086889177,1.8906656986588966
DLC1.2-k-s2,538.2,6.190449721713048,4.223978694097349,3.2307830447034975,0.7116029710847248,0,0,1,0.003554926453920935,0.0022121823164960334,8438.99315185867,13561.269239109657,5599.267101147152,20,0.65,1.770983796492704,1.1763725390371151,1.5512352237058886,1.5540841248464383,1.9054315124260415
DLC1.2-k-s3,538.2,6.190404542576236,4.720039746727429,3.230806623774652,0.6822045576722089,0,0,1,0.005399471577227513,0.0035875310678815816,5556.099253587369,8362.296920181056,3596.219190420141,20,0.64,2.6922281216289354,-0.2906216398351509,1.5392057108925092,1.5110081061383671,1.9733383060801846
