rank,stage,k_L,k_R,delta_mm,f_L,f_R,sigma_MPa,end_L_MPa,end_L_pct,margin_L_pct,margin_L_lam,end_R_MPa,end_R_pct,margin_R_pct,margin_R_lam,y_star_pct,s1,s2,s3,s4,score,feasible
1,U1,2.5,0.4,40,0.0,0.0,2078.7,1015.6,48.86,14.28,2.713,984.6,47.37,5.587,1.062,27.3,0.5854,0.354,0.9851,0.5114,1.57045,1
1,U1,2.5,0.5,0,0.0,0.0,2116.6,1100.4,51.99,13.304,2.528,763.1,36.05,6.972,1.325,33.26,,,,,,0
1,U1,2.5,0.5,10,0.0,0.0,2108.6,1080.4,51.24,13.508,2.566,790.5,37.49,6.824,1.297,33.08,,,,,,0
1,U1,2.5,0.5,20,0.0,0.0,2100.6,1060.3,50.48,13.719,2.607,824.2,39.23,6.704,1.274,32.89,,,,,,0
1,U1,2.5,0.5,30,0.0,0.0,2093.8,1039.4,49.64,13.928,2.646,856.6,40.91,6.581,1.25,27.86,0.5769,0.4167,0.9127,0.5036,1.48955,1
1,U1,2.5,0.5,40,0.0,0.0,2086.8,1020.6,48.91,14.143,2.687,889.0,42.6,6.455,1.226,27.67,0.5797,0.4087,0.9369,0.5109,1.51668,1
1,U1,2.5,0.6,0,0.0,0.0,2125.4,1104.5,51.97,13.165,2.501,672.8,31.66,8.195,1.557,33.73,,,,,,0
1,U1,2.5,0.6,10,0.0,0.0,2116.9,1082.5,51.13,13.395,2.545,705.1,33.31,7.954,1.511,33.49,,,,,,0
1,U1,2.5,0.6,20,0.0,0.0,2108.8,1063.8,50.45,13.591,2.582,734.6,34.84,7.763,1.475,28.47,,,,,,0
1,U1,2.5,0.6,30,0.0,0.0,2101.5,1044.0,49.68,13.797,2.621,768.4,36.56,7.58,1.44,28.27,,,,,,0
1,U1,2.5,0.6,40,0.0,0.0,2094.2,1024.6,48.93,14.014,2.663,802.4,38.31,7.392,1.405,28.06,0.5738,0.4683,0.8939,0.5107,1.46771,1
