DLC,dt,k,nbin,D30_ref_UW,D30_ref_DW,D30_scr_UW,D30_scr_DW,eps_UW,eps_DW,eps_Sys,life_ref_UW,life_scr_UW,t_s
DLC4.1-b-y3,20.0,0.16,10,0.0005482416739919047,6.640749720936234e-05,0.0005599045710225361,6.65108021418182e-05,2.1273277067229257,0.15556215306560262,1.95968341718058,54720.393255699455,53580.55917495359,1.9514743000036106
DLC4.1-c-y1,20.0,0.21,10,0.0005306584484238894,8.822501012990469e-05,0.0005463964402433055,8.585695046484032e-05,2.9657479054860048,-2.684113792197451,2.3052131443149326,56533.53883105623,54905.18932854187,2.4591792999999598
DLC4.1-c-y2,20.0,0.31,10,0.0003843471220020858,6.357260878208558e-05,0.0004001546332067049,5.958020471452107e-05,4.11282153545911,-6.280069583505199,2.907133682497398,78054.44163007729,74971.01747789366,2.023667100002058
DLC4.1-c-y3,2.0,0.46,100,0.0006326935904949815,0.0001516227870653129,0.0006512499927124694,0.00014101072265145943,2.93292084766823,-6.998990467892019,1.2830994920388195,47416.31723585156,46065.25963255583,23.42853480001213
DLC6.4-a-s1,10.0,3.0,60,0.010979690373358815,0.0015562277727117137,0.011034861762300426,0.0015665860787535363,0.5024858358071649,0.6656034690714518,0.5187876295321914,2732.3174861826865,2718.6566217342383,14.383405199972913
DLC6.4-a-s2,20.0,3.0,30,0.016968331228602952,0.002405704402561082,0.017091025479692663,0.0024263617721796463,0.723077888077106,0.8586827873188652,0.7366336732658185,1767.9994335229617,1755.3071953257347,6.929033600026742
DLC6.4-a-s3,20.0,3.0,30,0.0184758464937276,0.00261973824493237,0.018602844154382098,0.0026448143150467063,0.6873712698230783,0.9571975430310076,0.7143497276657085,1623.7415703894678,1612.6566320200657,7.552506499981973
DLC6.4-a-s4,20.0,3.0,30,0.011706272769990414,0.0016605920147954366,0.011799700377203976,0.00167771246822191,0.7980986693994385,1.030984930310086,0.8213935709450837,2562.72859768879,2542.4374383232193,7.124905100034084
DLC6.4-a-s5,10.0,3.0,60,0.01199142661017657,0.0016996534849141858,0.012066211815244683,0.0017125489338960878,0.6236556124576964,0.7587104722438731,0.6371528345044286,2501.787399886214,2486.2815653623306,14.32757359999232
DLC6.4-a-s6,20.0,3.0,30,0.011714391239418562,0.0016605805146116994,0.011798556254060554,0.0016756445098625313,0.7184753601090055,0.9071523553529248,0.7373343054938308,2560.9525400731823,2542.6839821758103,6.939695900015067
DLC6.4-b-s1,20.0,0.36,30,0.0007184363909783557,0.00012027213868356255,0.0007471242745920928,0.00011167419953957539,3.993100011912021,-7.148737220519907,2.6855359929006895,41757.35023548356,40153.96235971464,6.7393863999750465
DLC6.4-b-s2,20.0,0.37,30,0.0007838546773348455,0.00013221588921970845,0.0008161783608342281,0.00012247436962943377,4.1236831818475705,-7.367888721821325,2.765218204079667,38272.40031532613,36756.67162914801,6.505719300010242
DLC6.4-b-s3,20.0,0.28,30,0.000664089336580527,0.00010459749477878931,0.0006866638818830181,9.952765827257096e-05,3.3993235637135966,-4.8469961129952726,2.487152111097557,45174.64495736896,43689.49757155114,7.064097900001798
DLC6.4-b-s4,2.0,0.45,300,0.0009965206449389996,0.00020539830593844767,0.0010264226126911714,0.0001857961695908593,3.000637056947486,-9.54347518010329,1.1977724616146102,30104.745097214116,29227.727087328265,68.42621340003097
DLC6.4-b-s5,1.0,0.35,600,0.0014054192588830042,0.0003802846542702525,0.0014362372778799716,0.000369297119447909,2.192798967438425,-2.8892921917735626,1.2456228834110794,21345.943433166933,20887.913482013897,132.66318689996842
DLC6.4-b-s6,20.0,0.3,30,0.000648646945609839,0.00010126880649527309,0.0006690507989964451,9.587622937645471e-05,3.1456023226044794,-5.325013007900015,2.2169807411343667,46250.12143053394,44839.644530727775,6.743989899987355
