D_pw_mm,D_we_mm,L_we_mm,alpha,Z,Zmax,cage_valid,cage_mass,mass,sum4,diff,cageR,cageW,setok
3900.0,140.0,415.0,19.0,80,87.39,1,375.24214672724133,12900.406756900662,12900.40675690066,1.8189894035458565e-12,1.9849999999999999,0.487,1
3900.0,140.0,415.0,24.0,80,87.37,1,375.2421467272483,12811.439348195474,12811.439348195474,0.0,1.9849999999999999,0.487,1
3900.0,140.0,415.0,30.0,80,87.35,1,375.24214672726225,12770.195464114473,12770.195464114473,0.0,1.9849999999999999,0.487,1
3900.0,140.0,500.0,12.0,80,87.42,1,418.4098147188677,15480.844997005304,15480.844997005304,0.0,1.9849999999999999,0.5720000000000001,1
3900.0,140.0,500.0,19.0,80,87.37,1,418.4098147188677,15431.797745580889,15431.79774558089,-1.8189894035458565e-12,1.9849999999999999,0.5720000000000001,1
3900.0,140.0,500.0,24.0,80,87.34,1,418.4098147188677,15419.3572360831,15419.357236083102,-1.8189894035458565e-12,1.9849999999999999,0.5720000000000001,1
3900.0,140.0,500.0,30.0,80,87.31,1,418.4098147188747,15472.394142959987,15472.394142959987,0.0,1.9849999999999999,0.5720000000000001,1
3900.0,170.0,325.0,12.0,66,72.0,1,403.05888258864184,11154.39435876307,11154.39435876307,0.0,1.9925,0.397,1
3900.0,170.0,325.0,19.0,66,71.97,1,403.0588825886488,10944.214634342048,10944.214634342046,1.8189894035458565e-12,1.9925,0.397,1
3900.0,170.0,325.0,24.0,66,71.95,1,403.05888258864184,10793.715181290514,10793.715181290514,0.0,1.9925,0.397,1
3900.0,170.0,325.0,30.0,66,71.93,1,403.0588825886488,10587.8531037951,10587.8531037951,0.0,1.9925,0.397,1
3900.0,170.0,415.0,12.0,66,71.98,1,459.15675920019095,13958.538046321968,13958.538046321968,0.0,1.9925,0.487,1
3900.0,170.0,415.0,19.0,66,71.95,1,459.1567592001561,13745.4962738959,13745.4962738959,0.0,1.9925,0.487,1
3900.0,170.0,415.0,24.0,66,71.92,1,459.1567592001631,13652.371243452231,13652.37124345223,1.8189894035458565e-12,1.9925,0.487,1
3900.0,170.0,415.0,30.0,66,71.9,1,459.156759200177,13500.723161806167,13500.723161806167,0.0,1.9925,0.487,1
3900.0,170.0,500.0,12.0,66,71.97,1,512.1380871110806,16606.407348242097,16606.407348242097,0.0,1.9925,0.5720000000000001,1
3900.0,170.0,500.0,19.0,66,71.92,1,512.1380871110457,16458.076169718628,16458.076169718628,0.0,1.9925,0.5720000000000001,1
3900.0,170.0,500.0,24.0,66,71.9,1,512.1380871110666,16439.788045782687,16439.788045782683,3.637978807091713e-12,1.9925,0.5720000000000001,1
3900.0,170.0,500.0,30.0,66,71.87,1,512.1380871110388,16362.109305787615,16362.109305787615,0.0,1.9925,0.5720000000000001,1
3900.0,200.0,325.0,12.0,56,61.18,1,480.55519377944404,11858.0029841779,11858.0029841779,0.0,2.0,0.397,1
3900.0,200.0,325.0,19.0,56,61.15,1,480.5551937794301,11590.256916101118,11590.256916101116,1.8189894035458565e-12,2.0,0.397,1
3900.0,200.0,325.0,24.0,56,61.14,1,480.55519377944404,11405.408004468361,11405.40800446836,1.8189894035458565e-12,2.0,0.397,1
3900.0,200.0,325.0,30.0,56,61.12,1,480.55519377945103,11159.978170410497,11159.978170410497,0.0,2.0,0.397,1
